mode,model,mean_score,se,n_runs
augmentation,Claude-Opus-4.8,6.016929499072356,0.08249102987363928,10
augmentation,Claude-Sonnet-4.6,6.052427334570192,0.08180039150748032,10
augmentation,DeepSeek-V3.1,5.8044655741084314,0.07734357787984025,10
augmentation,GPT-3.5-Turbo,6.281864564007421,0.061788441334533505,10
augmentation,GPT-4.1,6.2487734487734485,0.09317075747288278,10
augmentation,GPT-5-Mini,6.4027107812822095,0.04393525867356213,10
augmentation,GPT-O3-Mini,5.797666975881262,0.11013489537525907,10
augmentation,GPT-O4-Mini,6.193174087816945,0.08128476375166345,10
augmentation,GPT-OSS-120B,6.216210575139146,0.07187344101811899,10
augmentation,Gemini-3.1-Pro,6.099515563801278,0.05572829038640785,10
automation,Claude-Opus-4.8,7.758438981653268,0.03528744102340714,10
automation,Claude-Sonnet-4.6,7.7773139558853845,0.030032355452592155,10
automation,DeepSeek-V3.1,7.391901763460206,0.060967216587746016,10
automation,GPT-3.5-Turbo,5.2984892993009876,0.03082615326859249,10
automation,GPT-4.1,7.798852813852814,0.028810166971504673,10
automation,GPT-5-Mini,8.50803442589157,0.023553252931039485,10
automation,GPT-O3-Mini,7.50337113369722,0.03674614477156495,10
automation,GPT-O4-Mini,8.097509791795506,0.07380018209312225,10
automation,GPT-OSS-120B,8.066826427540713,0.09569337727029394,10
automation,Gemini-3.1-Pro,6.733426389000923,0.12969093565589634,10
